Title,Description,PriceStable,InStock,SellerPincode,CustomerPincode,ShippingDays,PredictedVisibility
"LED Desk Lamp – Dimmable, USB Charging Port","Adjustable dimmable LED lamp with USB charger, touch controls, and 3 light modes.",1,1,110001,400001,2,Medium
"Microfiber Cleaning Cloths – 12-Pack, Multi-Purpose","Lint-free microfiber cloths ideal for glass, electronics, and countertops. Machine washable.",1,1,500001,600001,3,Medium
"Electric Kettle – 1.7L, Auto Shut-Off",Fast-boil stainless steel kettle with auto shut-off and boil-dry protection. Concealed heating element.,0,1,700001,122001,4,Medium
"Foldable Storage Box – Fabric, Collapsible, Set of 3",Space-saving foldable storage bins with handles and breathable fabric. Ideal for closet or toy storage.,1,1,400001,600001,3,Medium
"Wireless Mouse – Ergonomic, 2.4GHz, USB Receiver",Compact ergonomic mouse with silent clicks and reliable wireless connection. Long battery life.,1,1,122001,560001,2,Medium
"Portable USB Fan – Rechargeable, Mini Size",Rechargeable mini fan with adjustable head and up to 8 hours runtime. USB-C charging.,0,1,110001,700001,3,Medium
"Car Phone Mount – Dashboard, Adjustable Arm",Universal mount with 360° rotation and strong suction base. Secure grip and easy one-hand use.,1,1,500001,500001,3,Medium
"Silicone Baking Mats – Set of 2, Non-Stick","Reusable silicone mats for baking and roasting, safe up to 230°C. Non-stick and easy to clean.",1,1,600001,122001,4,Medium
"Travel Toiletry Bag – Waterproof, Hanging Hook","Hanging toiletry organizer with multiple compartments, waterproof lining, and sturdy hook.",1,1,110001,110001,3,Medium
"LED String Lights – 10m, Warm White, Remote Control","10m warm-white LED fairy lights with remote timer, dimming and steady/flicker modes.",1,1,122001,122001,4,Medium
"Universal Remote Control – TV, AC, Multi-Device","All-in-one infrared remote compatible with most TVs, DVDs, and air conditioners. Battery included.",0,1,110001,600001,5,Medium
"Resistance Bands Set – 5 Levels, Exercise Guide",Five color-coded resistance bands with door anchor and workout chart included. Great for home workouts.,1,1,500001,400001,3,Medium
"Compact Umbrella – Windproof, Auto Open/Close",Sturdy umbrella with automatic open/close and reinforced frame to withstand wind. Compact carry case.,1,1,600001,700001,3,Medium
"Handheld Milk Frother – Stainless Steel, Battery Operated",Manual frother with stainless whisk and ergonomic handle. Battery included for instant froth.,1,1,700001,110001,3,Medium
"Essential Oil Diffuser – 200ml, Ultrasonic, Color-Changing","Ultrasonic diffuser with color cycles, timer modes, and auto shut-off. Quiet and safe for bedrooms.",1,1,122001,500001,4,Medium
"USB-C Charging Cable – 2m, Fast Charging, Nylon Braided",Durable nylon braided cable supporting 60W fast charging and data sync. Tangle-free and reinforced ends.,1,1,400001,400001,2,Medium
